Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,,
en,Wikipedia:Manual of Style/Infoboxes,456,228,26,0,,,,en Wikipedia:Naming conventions (clergy)
en,Wikipedia:Manual of Style/Islam-related articles,557,202,4,0,,,,en Wikipedia:Naming conventions (country-specific topics)
en,Wikipedia:Manual of Style/Lists,1160,409,8,0,,,,en Wikipedia:Naming conventions (definite or indefinite article at beginning of name)
en,Wikipedia:Manual of Style/Mathematics,697,256,2,0,,,,en Wikipedia:Naming conventions (ethnicities and tribes)
en,Wikipedia:Manual of Style/Military history,308,94,1,0,,,,en Wikipedia:Naming conventions (government and legislation)
en,Wikipedia:Manual of Style/Music samples,137,98,3,0,,,,en Wikipedia:Naming conventions (ice hockey)
en,Wikipedia:Manual of Style/Philosophy,51,14,1,0,,,,en Wikipedia:Naming conventions (languages)
en,Wikipedia:Manual of Style/Pronunciation,739,301,4,0,,,,en Wikipedia:Naming conventions (lists)
en,Wikipedia:Manual of Style/Television,607,186,2,0,,,,en Wikipedia:Naming conventions (manuscripts)
en,Wikipedia:Manual of Style/Titles,543,231,3,0,,,,en Wikipedia:Naming conventions (numbers and dates)
en,Wikipedia:Naming conventions (astronomical objects),151,51,1,0,,,,en Wikipedia:Naming conventions (operas)
en,Wikipedia:Naming conventions (books),230,75,3,0,,,,en Wikipedia:Naming conventions (places in Bangladesh)
en,Wikipedia:Naming conventions (capitalization),346,168,2,0,,,,en Wikipedia:Naming conventions (political parties)
en,Wikipedia:Naming conventions (chemistry),178,85,4,0,,,,en Wikipedia:Naming conventions (sportspeople)
en,Wikipedia:Naming conventions (comics),161,53,1,0,,,,en Wikipedia:Naming conventions (stations in Poland)
en,Wikipedia:Naming conventions (events),110,41,3,0,,,,en Wikipedia:Naming conventions (writing systems)
en,Wikipedia:Naming conventions (fauna),347,88,1,0,,,,en Wikipedia:No 3D illustrations
en,Wikipedia:Naming conventions (films),256,98,4,0,,,,en Wikipedia:Overcategorization/User categories
en,Wikipedia:Naming conventions (flora),295,67,1,0,,,,en Wikipedia:People by year
en,Wikipedia:Naming conventions (music),353,95,2,0,,,,en Wikipedia:Reference desk/Guidelines
en,Wikipedia:Naming conventions (people),1077,379,13,0,,,,en Wikipedia:Reference desk/Guidelines/Medical advice
en,Wikipedia:Naming conventions (royalty and nobility),705,180,5,0,,,,en Wikipedia:Scientific citation guidelines
en,Wikipedia:Naming conventions (sports teams),20,7,1,0,,,,en Wikipedia:Spellchecking
en,Wikipedia:Naming conventions (television),387,89,2,0,,,,en Wikipedia:Television episodes
en,Wikipedia:Naming conventions (use English),611,172,4,0,,,,en Wikipedia:WikiProject Trinidad and Tobago/Style guide
en,Wikipedia:Naming conventions (video games),164,49,3,0,,,,en Wikipedia:Updating information
en,Wikipedia:Non-free use rationale guideline,479,270,19,0,,,,en Wikipedia:User categories
en,Wikipedia:Notability (astronomical objects),257,45,3,0,,,,en Wikipedia:WikiProject Belgium/Alternate language names
en,Wikipedia:Notability (films),338,164,18,0,,,,en Wikipedia:WikiProject Belgium/Brussels naming conventions
en,Wikipedia:Page blanking,127,88,5,0,,,,"en Wikipedia:WikiProject Belgium/Castle, country house, château and kasteel naming conventions"
en,Wikipedia:Page mover,376,113,1,0,,,,en Wikipedia:WikiProject College football/Naming conventions
en,Wikipedia:Password strength requirements,72,35,2,0,,,,en Wikipedia:WikiProject Economics/Reliable sources and weight
en,Wikipedia:Preparing images for upload,346,199,3,0,,,,en Wikipedia:WikiProject Ireland/Ireland Category Norms
en,Wikipedia:Proposed deletion (books),101,33,1,0,,,,en Wikipedia:WikiProject Mining/Style guide
en,Wikipedia:Public domain,1119,488,14,0,,,,en Wikipedia:WikiProject Swiss municipalities/Article title conventions
en,Wikipedia:Reviewing good articles,332,131,2,0,,,,es Usuaria:Userbox mujer
en,Wikipedia:Set index articles,83,50,4,0,,,,es Usuario:Userbox/Documentación de userboxes
en,Wikipedia:Spam blacklist,296,213,3,0,,,,es Wikipedia:Candidatos a artículos destacados/Información
en,Wikipedia:Stand-alone lists,703,249,4,0,,,,es Wikipedia:Contextualizar
en,Wikipedia:Substitution,945,444,27,0,,,,es Wikipedia:Documentación de las plantillas de aviso a usuario
en,Wikipedia:Talk page templates,197,77,1,0,,,,es Wikipedia:Información de soporte enciclopédico
en,Wikipedia:Template editor,350,148,12,0,,,,es Wikipedia:Plantillas de wikiproyectos
en,Wikipedia:Template namespace,459,270,16,0,,,,es Wikipedia:Política de consultas
en,Wikipedia:TemplateStyles,90,38,9,0,,,,es Wikipedia:Política de wikiproyectos
en,Wikipedia:Wikipedia is not for things made up one day,501,322,3,0,,,,es Wikipedia:Proceso de borrado
es,Wikipedia:Acerca de firmar artículos,117,77,1,0,,,,es Wikipedia:Revalidación de bibliotecarios/Texto
es,Wikipedia:Convenciones idiomáticas,930,474,2,0,,,,es Wikipedia:¿Tú o usted?
es,Wikipedia:Creación de artículos con bot,81,30,2,0,,,,de Portal:Antarktis/Konventionen
es,Wikipedia:Espacio principal,84,54,5,0,,,,de Portal:Bergbau/Namenskonventionen
es,Wikipedia:Para bibliotecarios,61,43,2,0,,,,de Portal:Berge und Gebirge/Relevanzkriterien und Regeln
es,Wikipedia:Política de restauración,54,40,1,0,,,,de Portal:Hund/Leitlinien
es,Wikipedia:Pseudobots,17,4,10,0,,,,de Portal:Waffen/Namenskonventionen
es,Wikipedia:Wikipedia no es de papel,68,54,2,0,,,,de Portal:Wirtschaft/Richtlinien
fr,Projet:Hockey sur glace/Conventions/Notoriété,82,23,1,0,,,,de Wikipedia:Allgemeinverständlichkeit
fr,Wikipédia:Notoriété dans le domaine de la pornographie,136,55,2,0,,,,de Wikipedia:Barrierefreiheit
fr,Wikipédia:Notoriété des personnalités politiques,107,64,1,0,,,,de Wikipedia:Belege/Recht
fr,Wikipédia:Style encyclopédique,269,173,6,0,,,,de Wikipedia:Enzyklopädische Fotografie
fr,Wikipédia:Traduction automatique,87,35,1,0,,,,de Wikipedia:Fremdwortformatierung
fr,Wikipédia:Sources de presse,134,58,2,0,,,,de Wikipedia:Koranzitate
ja,Wikipedia:プロジェクト間の移動,107,33,1,0,,,,de Wikipedia:Namensgebung biblische Namen
,,,,,,,,,de Wikipedia:Namenskonventionen/Abkürzungen
,,,,,,,,,de Wikipedia:Namenskonventionen/Albanische Eigennamen
,,,,,,,,,de Wikipedia:Namenskonventionen/Altgriechisch
,,,,,,,,,de Wikipedia:Namenskonventionen/Britischer Adel
,,,,,,,,,de Wikipedia:Namenskonventionen/Indien/Devanagari
,,,,,,,,,de Wikipedia:Namenskonventionen/Latein
,,,,,,,,,de Wikipedia:Namenskonventionen/Medizin
,,,,,,,,,de Wikipedia:Namenskonventionen/Rumänisch
,,,,,,,,,de Wikipedia:Namenskonventionen/Somali
,,,,,,,,,de Wikipedia:Namenskonventionen/Staaten
,,,,,,,,,de Wikipedia:Namenskonventionen/Tropische Wirbelstürme
,,,,,,,,,de Wikipedia:Namenskonventionen/Usbekisch
,,,,,,,,,de Wikipedia:Redaktion Film und Fernsehen/Richtlinien
,,,,,,,,,de Wikipedia:Redaktion Musik/Leitfaden Musikartikel/Musikalische Werke
,,,,,,,,,de Wikipedia:Redaktion Recht/Richtlinien
,,,,,,,,,de Wikipedia:Richtlinien Biologie
,,,,,,,,,de Wikipedia:Richtlinien E-Sport
,,,,,,,,,de Wikipedia:Richtlinien Physik
,,,,,,,,,de Wikipedia:Richtlinien Software
,,,,,,,,,de Wikipedia:Richtlinien Studentenverbindungen
,,,,,,,,,de Wikipedia:Richtlinien Südosteuropa
,,,,,,,,,de Wikipedia:Richtlinien Wirtschaft
,,,,,,,,,de Wikipedia:Spaltensatz
,,,,,,,,,de Wikipedia:Systematik
,,,,,,,,,de Wikipedia:Was ist relevant für aktuelle Ereignisse?
,,,,,,,,,de Wikipedia:Wie zitiert man Bibelstellen
,,,,,,,,,de Wikipedia:Wie zitiert man antike und mittelalterliche Autoren und Werke
,,,,,,,,,fr Aide:Signature
,,,,,,,,,fr Projet:Parcs de loisirs/Recommandations
,,,,,,,,,fr Projet:Suisse/Admissibilité
,,,,,,,,,fr Projet:Tennis/Critères d'admissibilité
,,,,,,,,,fr Wikipédia:Accessibilité
,,,,,,,,,fr Wikipédia:Articles consacrés à la pornographie
,,,,,,,,,fr Wikipédia:Code de bonne conduite
,,,,,,,,,fr Wikipédia:Contenu évasif
,,,,,,,,,fr Wikipédia:Contestation du statut de bureaucrate
,,,,,,,,,fr Wikipédia:Conventions sur les titres d'œuvres de musique classique
,,,,,,,,,fr Wikipédia:Conventions sur les titres de personnages de la mythologie grecque
,,,,,,,,,fr Wikipédia:Critère des deux ans
,,,,,,,,,fr Wikipédia:Critères d'admissibilité des articles
,,,,,,,,,fr Wikipédia:Dates
,,,,,,,,,fr Wikipédia:Guide contre l'anthropocentrisme
,,,,,,,,,fr Wikipédia:Guide pratique
,,,,,,,,,fr Wikipédia:Liens vers les portails
,,,,,,,,,fr Wikipédia:Limitez l'usage de la couleur dans les articles
,,,,,,,,,fr Wikipédia:Liste des critères spécifiques de notoriété
,,,,,,,,,fr Wikipédia:Notoriété des arts visuels
,,,,,,,,,fr Wikipédia:Notoriété des fanzines
,,,,,,,,,fr Wikipédia:Protection
,,,,,,,,,fr Wikipédia:Règles de savoir-vivre
,,,,,,,,,fr Wikipédia:Transcription des langues indiennes
,,,,,,,,,fr Wikipédia:Utilisation de données Wikidata dans les articles
,,,,,,,,,ja Wikipedia:アップロードされたファイルのライセンス
,,,,,,,,,ja Wikipedia:リダイレクト削除の方針
,,,,,,,,,ja Wikipedia:即時版指定削除の方針
,,,,,,,,,ja Wikipedia:各年のスタイルガイド
,,,,,,,,,ja Wikipedia:版指定削除の方針
,,,,,,,,,ja Wikipedia:編集フィルターのガイドライン
,,,,,,,,,ja Wikipedia:自著作物の持ち込み/削除依頼を出されたら
,,,,,,,,,ja Wikipedia:色の使用
,,,,,,,,,ja Wikipedia:著作権/2008年7月13日までの文書対象
,,,,,,,,,ja Wikipedia:著作権/履歴の保存
,,,,,,,,,ja Wikipedia:表記ガイド/放送関連および配信関連
,,,,,,,,,ja Wikipedia:記事名の付け方/ヨーロッパ貴族の記事名
,,,,,,,,,ja Wikipedia:記事名の付け方/日本の皇族
,,,,,,,,,ja Wikipedia:関連作品
,,,,,,,,,ja プロジェクト:キリスト教/キリスト教の記事名と用語表記のガイドライン
,,,,,,,,,ja プロジェクト:フィクション/登場人物と設定の記述
,,,,,,,,,de Wikipedia:Literatur
,,,,,,,,,de Wikipedia:Meinungsbilder/Regelungen
,,,,,,,,,de Wikipedia:Namenskonventionen/Armenisch
,,,,,,,,,de Wikipedia:Namenskonventionen/Aserbaidschanisch
,,,,,,,,,de Wikipedia:Namenskonventionen/Georgisch
,,,,,,,,,de Wikipedia:Namenskonventionen/Hawaiisch
,,,,,,,,,de Wikipedia:Namenskonventionen/Indien/Bengalisch
,,,,,,,,,de Wikipedia:Namenskonventionen/Indien/Tamilisch
,,,,,,,,,de Wikipedia:Richtlinien Geschichte
,,,,,,,,,de Wikipedia:Sei tapfer
,,,,,,,,,de Wikipedia:Stimmberechtigung
,,,,,,,,,de Wikipedia:Themenbereiche
,,,,,,,,,en Wikipedia:Arbitration Committee/CheckUser and Oversight
,,,,,,,,,en Wikipedia:As of
,,,,,,,,,en Wikipedia:Broad-concept article
,,,,,,,,,"en Wikipedia:Categorization/Ethnicity, gender, religion and sexuality"
,,,,,,,,,en Wikipedia:Deletion process
,,,,,,,,,en Wikipedia:Extended image syntax
,,,,,,,,,en Wikipedia:File mover
,,,,,,,,,en Wikipedia:File names
,,,,,,,,,en Wikipedia:Global rights policy
,,,,,,,,,en Wikipedia:In the news/Recurring items
,,,,,,,,,en Wikipedia:Linking to external harassment
,,,,,,,,,en Wikipedia:Logos
,,,,,,,,,en Wikipedia:Manual of Style/Article message boxes
,,,,,,,,,en Wikipedia:Manual of Style/Captions
,,,,,,,,,en Wikipedia:Manual of Style/China and Chinese-related articles
,,,,,,,,,en Wikipedia:Manual of Style/Computing (failed proposal)
,,,,,,,,,en Wikipedia:Manual of Style/France and French-related articles
,,,,,,,,,en Wikipedia:Manual of Style/Hidden text
,,,,,,,,,en Wikipedia:Manual of Style/Infoboxes
,,,,,,,,,en Wikipedia:Manual of Style/Islam-related articles
,,,,,,,,,en Wikipedia:Manual of Style/Lists
,,,,,,,,,en Wikipedia:Manual of Style/Mathematics
,,,,,,,,,en Wikipedia:Manual of Style/Military history
,,,,,,,,,en Wikipedia:Manual of Style/Music samples
,,,,,,,,,en Wikipedia:Manual of Style/Philosophy
,,,,,,,,,en Wikipedia:Manual of Style/Pronunciation
,,,,,,,,,en Wikipedia:Manual of Style/Television
,,,,,,,,,en Wikipedia:Manual of Style/Titles
,,,,,,,,,en Wikipedia:Naming conventions (astronomical objects)
,,,,,,,,,en Wikipedia:Naming conventions (books)
,,,,,,,,,en Wikipedia:Naming conventions (capitalization)
,,,,,,,,,en Wikipedia:Naming conventions (chemistry)
,,,,,,,,,en Wikipedia:Naming conventions (comics)
,,,,,,,,,en Wikipedia:Naming conventions (events)
,,,,,,,,,en Wikipedia:Naming conventions (fauna)
,,,,,,,,,en Wikipedia:Naming conventions (films)
,,,,,,,,,en Wikipedia:Naming conventions (flora)
,,,,,,,,,en Wikipedia:Naming conventions (music)
,,,,,,,,,en Wikipedia:Naming conventions (people)
,,,,,,,,,en Wikipedia:Naming conventions (royalty and nobility)
,,,,,,,,,en Wikipedia:Naming conventions (sports teams)
,,,,,,,,,en Wikipedia:Naming conventions (television)
,,,,,,,,,en Wikipedia:Naming conventions (use English)
,,,,,,,,,en Wikipedia:Naming conventions (video games)
,,,,,,,,,en Wikipedia:Non-free use rationale guideline
,,,,,,,,,en Wikipedia:Notability (astronomical objects)
,,,,,,,,,en Wikipedia:Notability (films)
,,,,,,,,,en Wikipedia:Page blanking
,,,,,,,,,en Wikipedia:Page mover
,,,,,,,,,en Wikipedia:Password strength requirements
,,,,,,,,,en Wikipedia:Preparing images for upload
,,,,,,,,,en Wikipedia:Proposed deletion (books)
,,,,,,,,,en Wikipedia:Public domain
,,,,,,,,,en Wikipedia:Reviewing good articles
,,,,,,,,,en Wikipedia:Set index articles
,,,,,,,,,en Wikipedia:Spam blacklist
,,,,,,,,,en Wikipedia:Stand-alone lists
,,,,,,,,,en Wikipedia:Substitution
,,,,,,,,,en Wikipedia:Talk page templates
,,,,,,,,,en Wikipedia:Template editor
,,,,,,,,,en Wikipedia:Template namespace
,,,,,,,,,en Wikipedia:TemplateStyles
,,,,,,,,,en Wikipedia:Wikipedia is not for things made up one day
,,,,,,,,,es Wikipedia:Acerca de firmar artículos
,,,,,,,,,es Wikipedia:Convenciones idiomáticas
,,,,,,,,,es Wikipedia:Creación de artículos con bot
,,,,,,,,,es Wikipedia:Espacio principal
,,,,,,,,,es Wikipedia:Para bibliotecarios
,,,,,,,,,es Wikipedia:Política de restauración
,,,,,,,,,es Wikipedia:Pseudobots
,,,,,,,,,es Wikipedia:Wikipedia no es de papel
,,,,,,,,,fr Projet:Hockey sur glace/Conventions/Notoriété
,,,,,,,,,fr Wikipédia:Notoriété dans le domaine de la pornographie
,,,,,,,,,fr Wikipédia:Notoriété des personnalités politiques
,,,,,,,,,fr Wikipédia:Style encyclopédique
,,,,,,,,,fr Wikipédia:Traduction automatique
,,,,,,,,,fr Wikipédia:Sources de presse
,,,,,,,,,ja Wikipedia:プロジェクト間の移動